company_name,A money,A date,B money,B date,C money,C date,D money,D date,E money,E date,F money,F date,G money,G date,H money,H date,IPO money,IPO Date,Seed Money,Seed Date,Undisclosed Money,Undisclosed Date,Non series Money,Non Series Date,,
360pi,,,,,,,,,,,,,,,,,0,0,,,,20/04/12,18/08/13,4100000,4100000,18/12/12
360Quan,15000000,08/02/06,,,,,,,,,,,,,,,0,0,,,,,,0,15000000,08/02/06
360SHOP,1623640,01/03/13,,,,,,,,,,,,,,,0,0,,,,,,0,1623640,01/03/13
360T,,,,,,,,,,,,,,,,,0,0,,,,16/02/12,,0,,16/02/12
365 Data Centers,,,32000000,10/09/14,,,,,,,,,,,,,0,0,,,,,,0,32000000,10/09/14
365 docobites,,,,,,,,,,,,,,,,,0,0,,,,31/03/14,,0,,31/03/14
365 Retail Markets,,31/12/13,,,,,,,,,,,,,,,0,0,,,,,29/05/15,0,,21/03/14
365looks,,,,,,,,,,,,,,,,,0,0,54096,01/12/11,,,01/07/12,176884,609229,24/05/12
365Scores,1200000,28/01/13,22000000,29/09/14,,,,,,,,,,,,,0,0,,,,,,0,23200000,30/05/14
365webcall,,01/03/04,,,,,,,,,,,,,,,0,0,,,,,,0,,01/03/04
36Kr,3147952,01/07/12,,,,,,15/10/15,,,,,,,,,0,0,,,,,,0,3147952,05/08/13
37coins,,,,,,,,,,,,,,,,,0,0,1525000,12/05/14,,,,0,1525000,12/05/14
37mhealth,,,,,,,,,,,,,,,,,0,0,,,,,01/03/14,1629549,1629549,01/03/14
39 Health,,,,,,,,,,,,,,,,,0,0,,,,01/03/07,01/03/06,3750000,3750000,30/08/06
3BaysOver,,,,,,,,,,,,,,,,,0,0,,,,,10/07/14,4033749,4033749,10/07/14
3C Plus,,,,,,,,,,,,,,,,,0,0,75000,10/01/13,,,,0,75000,10/01/13
3Claps,,,,,,,,,,,,,,,,,0,0,,,,,01/07/15,35000,35000,01/07/15
3CLogic,,,16800000,04/03/14,,,,,,,,,,,,,0,0,,,,,18/12/14,2222190,20562190,11/02/14
3D Biomatrix,,,,,,,,,,,,,,,,,0,0,,,,,05/10/09,0,,05/10/09
3D By Flow,,,,,,,,,,,,,,,,,0,0,16674,30/06/15,,,,0,16674,30/06/15
3D Forms,,,,,,,,,,,,,,,,,0,0,,,,16/09/13,,0,,16/09/13
3D Hubs,13500000,02/09/14,,,,,,,,,,,,,,,0,0,,27/08/13,,,,0,13500000,28/02/14
3D Intelligent Pathological Medical Image Solutions,,,,,,,,,,,,,,,,,0,0,12500,01/08/15,,,,0,12500,01/08/15
"3D Operations, Inc.",,,,,,,,,,,,,,,,,0,0,7500,15/05/14,,,,0,7500,15/05/14
3D Product Imaging,,,,,,,,,,,,,,,,,0,0,35000,01/01/14,,,,0,35000,01/01/14
3D Robotics,20000000,05/11/12,180000000,12/09/13,570000000,16/03/15,,,,,,,,,,,0,0,,,,,,0,770000000,19/06/14
3D simo,,,,,,,,,,,,,,,,,0,0,,01/12/14,,,,0,,01/12/14
3D Systems,,,,,,,,,,,,,,,,,150000000,40463,,,,,,0,150000000,13/10/14
3D4Medical.com,,,,,,,,,,,,,,,,,0,0,,,,,07/07/15,16399999,16399999,07/07/15
3DC,,,,,,,,,,,,,,,,,0,0,,,,,01/01/09,0,,01/01/09
3DDUO,,,,,,,,,,,,,,,,,0,0,,,,,12/06/09,701760,701760,12/06/09
3Derm Systems,,,,,,,,,,,,,,,,,0,0,,02/04/13,,,,0,50000,16/07/13
3dim,,,,,,,,,,,,,,,,,0,0,50000,30/10/13,,,,0,50000,30/10/13
3Discovered,,24/11/14,,,,,,,,,,,,,,,0,0,,,,,,0,,24/11/14
3DIVAZ,,,,,,,,,,,,,,,,,0,0,202250.0316,01/11/15,,,,0,202250.0316,01/11/15
3DiVi Company,,,,,,,,,,,,,,,,,0,0,3740000,01/01/11,,,,0,4540000,02/08/11
3Dmena,,,,,,,,,,,,,,,,,0,0,30000,01/01/14,,,,0,30000,01/01/14
3dplusme,,,,,,,,,,,,,,,,,0,0,1800000,05/12/14,,,06/04/14,200000,2000000,05/08/14
3DPrinterOS,,,,,,,,,,,,,,,,,0,0,,10/11/13,,,,0,,10/11/13
3DR Laboratories,,,,,,,,,,,,,,,,,0,0,,,,,23/08/12,7200000,7200000,23/08/12
3DShook,,,,,,,,,,,,,,,,,0,0,,,,01/01/14,,0,,01/01/14
3DSoC,1240000,01/12/07,825000,01/08/10,,,,,,,,,,,,,0,0,,,,,,0,2065000,01/04/09
3DVista,,,,,,,,,,,,,,,,,0,0,,,,,03/06/08,475000,475000,03/06/08
3Funnel,,,,,,,,,,,,,,,,,0,0,,01/02/13,,,,0,,01/02/13
3G Multimedia,1700000,01/10/11,,,,,,,,,,,,,,,0,0,,,,,,0,1700000,01/10/11
3Guppies,20000000,05/04/06,,,,,,,,,,,,,,,0,0,,,,,,0,20000000,05/04/06
3GV8 International Inc,746185,01/03/06,,,,,,,,,,,,,,,0,0,,,,01/02/07,,0,746185,11/10/06
3i Systems,,,13000000,20/08/07,,,,,,,,,,,,,0,0,,,,,30/01/10,12208150,25208150,06/02/09
3IS,,,,,,,,,,,,,,,,,0,0,,,,,02/05/08,0,,02/05/08
3Jam,8000000,01/07/07,,,,,,,,,,,,,,,0,0,,,,,,0,8000000,01/07/07
3Leaf,30000000,01/01/05,80000000,30/04/07,140000000,22/09/08,,,,,,,,,,,0,0,,,,,,0,250000000,15/03/07
3LM,,,,,,,,,,,,,,,,,0,0,1500000,01/07/10,,,,0,1500000,01/07/10
3nder,,,,,,,,,,,,,,,,,0,0,,09/05/14,,,,0,,09/05/14
3Nod,15900000,01/01/07,,,,,,,,,,,,,,,0,0,,,,,,0,15900000,01/01/07
3P Biopharmaceuticals,,,,,,,,,,,,,,,,,0,0,,,,,17/10/07,4783500,4783500,17/10/07
3PAR,,,48000000,01/05/00,300000000,02/07/01,192000000,10/02/04,,,,,,,,,0,0,,,,,,0,540000000,06/07/02
3Pillar Global,12000000,06/06/13,,,,,,,,,,,,,,,0,0,,,,,09/06/11,10000000,22000000,07/06/12
3PL Central,,,,,,,,,,,,,,,,,0,0,,,,,03/12/15,17500000,17500000,03/12/15
3Play Media,,,,,,,,,,,,,,,,,0,0,50000,21/10/11,,,,0,50000,21/10/11
3point5.com,,,1500000,09/10/06,,,,,,,,,,,,,0,0,,,,,,0,1500000,09/10/06
3PointData,,,,,,,,,,,,,,,,,0,0,,03/09/10,,,,0,,03/09/10
3POWER ENERGY GROUP,,,,,,,,,,,,,,,,,0,0,,,,,11/03/11,50000000,50000000,11/03/11
